DN20020 ,Modina Gen.Store 
DN30019 ,New Bhagokul 
23.7348873, 90.3960891
DSEA-0021 ,Amina Store 
23.74863, 90.424475
DN30019 ,Ettadi G/Store 
23.7376866, 90.3839088
DN20010 ,Sohel Store 
23.82993167, 90.251725
DSWB-0007 ,Plus Point 
23.700655, 90.42554833
DSEB-0019 ,Amin Telicom & Store 
23.60614167, 90.51257333
DN20022 ,Shopon Con. & Sweets 
23.8125, 90.25712
DSEA-0021 ,Ma Gen Store 
23.74608333, 90.417955
DN10005 ,Muslim Sweets 
23.82230667, 90.39326667
DN20020 ,M/S Forhad Enterprise 
23.81272667, 90.35587333
DSWB-0014 ,Cambrian C/ Canteen 
23.70315333, 90.398555
DN20019 ,Sattar Store 
23.75341333, 90.394775
DN10005 ,Good Day 
23.82223833, 90.39336333
DN20020 ,M/S Forhad Enterprise 
23.81314667, 90.35612833
DN10005 ,Cafe & Boat Club 
23.82172167, 90.39488167
DN20025 ,M/S Rahat & Brothers 
23.7819927, 90.404832
DN10005 ,Cafe & Boat Club 
23.82176833, 90.39477167
DSWB-0007 ,Bismilla Genarel Store 
23.70101833, 90.42789167
DSWB-0014 ,Safwan Dep. Store 
23.70527167, 90.397215
DN20020 ,M/S Forhad Enterprise 
23.81312333, 90.35608833
DN20025 ,M/S Rahat & Brothers 
23.7819927, 90.404832
DN10005 ,Cafe & Boat Club 
23.82182667, 90.39469167
DN20025 ,M/S Rahat & Brothers 
23.77942833, 90.40476167
DN20010 ,Tamim Ent 
23.84171667, 90.24631833
DN20025 ,M/S Rahat & Brothers 
23.77918167, 90.40427667
DN10005 ,Kolpona Libray-02 
23.82008167, 90.39477167
DN20025 ,M/S Rahat & Brothers 
23.7819927, 90.404832
DN30019 ,Anisa G Store 
23.7470231, 90.3901523
DN30018 ,Sneha Varities Store 
23.79408, 90.34237333
DSWB-0014 ,Labiba General Store 
23.70313667, 90.39661667
DN20019 ,Read General Store 
23.75605667, 90.39398
DN20025 ,M/S Rahat & Brothers 
23.77978333, 90.40414667
DN30019 ,Anisa G Store 
23.7470231, 90.3901523
DN20028 ,Jakir store 
23.80545, 90.37955667
DN20010 ,Tamim Ent 
23.84144, 90.24523167
DN10005 ,Rafika Stationary & Telecom 
23.819365, 90.39395833
DN20028 ,Toma General Store 
23.80601333, 90.38021167
DN20025 ,Shayan Confectionery &General Store 
23.78048833, 90.40505333
DN10005 ,Adunika familu shop 
23.82036167, 90.39366
DN20010 ,Nishi Store 
23.841685, 90.24645833
DN10004 ,Pach Mishali 
23.79275, 90.38699667
DSWB-0014 ,Kusum Confectionery 
23.70112333, 90.39751167
DN20025 ,Enjoy confectionery & departmental store 
23.78045167, 90.40556333
DN30018 ,One price Store 
23.81270667, 90.35587167
DN20025 ,Hossain Bakery 
23.7819927, 90.404832
DN30018 ,Joaria Cosmitic 
23.79476333, 90.34145333
DN10005 ,Naybhai General Store 
23.818555, 90.39367833
DN10004 ,Fahim General Tore 
23.79261667, 90.38664
DN20007 ,Haque G Store 
23.752175, 90.38670333
DSWB-0024 ,Johir G. Store 
23.70351667, 90.389925
DN20028 ,Rongdhonu Bazar 
23.80698667, 90.377655
DN10005 ,Lalon General Store 
23.81788833, 90.39379833
DN20025 ,Nahid Variety store 
23.779165, 90.40740667
DN20021 ,Bebe Sokina Enterprise 
23.75755333, 90.35268
DN20007 ,Rasna G Store 
23.7506022, 90.3872975
DN20020 ,Monipuri School Cantin 
23.8126851, 90.35677
DN20019 ,Rashid Store 
23.755605, 90.39288167
DN10004 ,Ma Baber doya verities store 
23.791545, 90.38635333
DN20021 ,M/S Bebe Sokina Enterprise 
23.757785, 90.352535
DN30018 ,Salim Store 
23.79223833, 90.34200833
DN20007 ,Muslim Sweets 
23.7506022, 90.3872975
DN10005 ,Nigum General Store 
23.817015, 90.39042667
DN20028 ,Muslim Sweet & Backery 
23.80734833, 90.375395
DN20021 ,M/S Bebi Sokhina Ent 
23.75780667, 90.35279667
DN20025 ,Kabir Super shop 
23.7797178, 90.4060624
DN20021 ,M/S Bebe sokina Enterprise 
23.75794333, 90.35265333
DN20007 ,Ruhul Amin Store 
23.7506022, 90.3872975
DN10004 ,Naju Departmental Store 
23.78970667, 90.38623333
DN10004 ,Naju Departmental Store 
23.78977, 90.38619667
DN10005 ,Shatata General Store 
23.81807, 90.39162667
DN20020 ,Turzo General store 
23.81205333, 90.35675667
DN30018 ,Allah Meherban 
23.79022, 90.340295
DN20007 ,Sayeed Store 
23.75123667, 90.39132
DN10004 ,Supper Saver General Store 
23.78964333, 90.385945
DSEB-0019 ,Fair Distribution 
23.61373833, 90.514965
DSWB-0014 ,Yakub Store 
23.71179333, 90.35750167
DN20010 ,Janani Store 
23.84428333, 90.24931333
DN30019 ,Olympia Backery 
23.741215, 90.392555
DN20010 ,Janani Store 
23.84417667, 90.24895667
DN20007 ,Moon G Store 
23.75175667, 90.39246667
DN20028 ,Ma Babar Doa Veraities Store 
23.80882, 90.37510167
DSEB-0019 ,Fair Distribution 
23.61357833, 90.51476667
DN20020 ,Monipur College Cantin 
23.8124627, 90.3561486
DN10004 ,Lolontika General Store 
23.78910667, 90.38800333
DN20019 ,Jumuna Enterprise 
23.76051167, 90.40164667
DN30019 ,Bhai-Bhai G/Store 
23.7470231, 90.3901523
DN10026 ,Star Coffee House 
23.78367167, 90.37838667
DN20028 ,Surjo Departmental Store 
23.80840167, 90.37416667
DN20007 ,Allahar Dan Store 
23.75326, 90.39113667
DN20010 ,Daily Needs 
23.84441167, 90.250615
DN30019 ,Sumaiya G/Store 
23.74061667, 90.39155667
DN10026 ,Noakhali Gen. Store/ Gollasot 
23.78372333, 90.37624167
DN20028 ,Tend Shop 
23.8083, 90.373435
DN10026 ,Keranigoanj Gen. Store 
23.78363833, 90.37661
DN20020 ,Allah Vorosha 
23.81248667, 90.35790333
DN30019 ,Ma General 
23.7413436, 90.3912065
DSWB-0014 ,Fulkoli Sweet 
23.71312, 90.35799167
DN20028 ,Mayer Doa Verities Store 
23.809215, 90.37283167
DN10026 ,Brothers Gen. Store 
23.78137333, 90.37182167
DN20007 ,M/S Prachi Ent 
23.75378167, 90.391015
DN30019 ,Bismillah G/Store 
23.7414174, 90.3915159
DN20028 ,Ma Moni Store 
23.80831833, 90.37208
DN20019 ,Imran Store 
23.7603045, 90.4021509
DN10026 ,Alo Food 1 
23.779545, 90.37126833
DN30018 ,Allahar Dan Varieties Store 
23.78884333, 90.34089833
DN30019 ,Jesmin General Store 
23.7414174, 90.3915159
DN20007 ,M/S Prachi Ent 
23.750763, 90.392882
DSWB-0014 ,Nisad V. store 
23.71182, 90.357465
DN20025 ,Joynal store 
23.7808311, 90.4087492
DN10004 ,Titas Confectionery 
23.78831667, 90.38810333
DN30019 ,Allahar Dan 
23.74513, 90.39080667
DN20007 ,Prachi Ent 
23.7532326, 90.3900527
DN10026 ,Guljar Store 
23.78285833, 90.36833833
DN10004 ,Rista General Store 
23.788385, 90.38798667
DN10026 ,Family Bazar 
23.78524, 90.36703333
DN20010 ,Khalek Store 
23.8458, 90.25238167
DN20007 ,M/S Prachi Ent 
23.75371667, 90.391085
DN20007 ,M/S Prachi Ent 
23.75372, 90.39136333
DN30019 ,Shapla Statinert 
23.7414174, 90.3915159
DN10026 ,Pabna Murgi Gen. Store 
23.78886167, 90.36669167
DN30018 ,Samrat General Store 
23.79005167, 90.342795
DN20007 ,Prachi Enterprise 
23.75396333, 90.391205
DN10026 ,Food Star 
23.788825, 90.36687667
DSEA-0021 ,M/S Shormila Store 
